ID,NAME,DESCRIPTION
ukbench00248,Jersey Top,Fitted basic top in soft stretch jersey with round neckline and short sleeves.
ukbench00249,Fine-knit Cardigan,"Soft, fine-knit cardigan with a shawl collar. Slightly longer, draped front section and no buttons."
ukbench00250,Dress with Butterfly Sleeves,"Knee-length dress in airy, woven fabric with butterfly sleeves. Concealed buttons at front, tie at waist, and gently rounded hem. Lined."
ukbench00251,Dress with Butterfly Sleeves,"Knee-length dress in airy, woven fabric with butterfly sleeves. Concealed buttons at front, tie at waist, and gently rounded hem. Lined."
ukbench00252,Dress with Butterfly Sleeves,"Knee-length dress in airy, woven fabric with butterfly sleeves. Concealed buttons at front, tie at waist, and gently rounded hem. Lined."
ukbench00253,Sleeveless Top,"Sleeveless, fitted top in jersey with lace yoke. Opening at back with button at back of neck."
ukbench00254,Sleeveless Dress,"Fitted, knee-length sleeveless dress in textured woven fabric with a seam at waist. Visible zip and slit at back. Lined."
ukbench00255,Sleeveless Dress,"Fitted, knee-length sleeveless dress in textured woven fabric with a seam at waist. Visible zip and slit at back. Lined."
ukbench00256,Sleeveless Dress,"Short, sleeveless dress in jersey with a draped, wrapover front section. Low-cut V-neck at back and seam at waist. Lined."
ukbench00257,Slim-fit Pants,"Pants in superstretch twill with slim legs and a regular waist. Side pockets, decorative coin pocket with zip, and two back pockets."
ukbench00258,Jacquard-patterned Dress,"Sleeveless dress in jacquard-patterned fabric. Narrow-cut bodice, box pleats at waist, and flared skirt. Side pockets and visible back zip. Lined."
ukbench00259,Suit Pants,"Suit pants in woven stretch fabric with tapered legs, side pockets, and one welt back pocket. Hook-and-eye fastener."
ukbench00260,Suit Pants,"Suit pants in woven stretch fabric with tapered legs, side pockets, and one welt back pocket. Hook-and-eye fastener."
ukbench00261,Fitted Jacket,"Fitted, single-breasted jacket in woven fabric. Front welt pockets with flap, pointed lapels, slit at cuffs with decorative buttons, and vent at back. Lined."
ukbench00262,Fitted Jacket,"Fitted, single-breasted jacket in woven fabric. Front welt pockets with flap, pointed lapels, slit at cuffs with decorative buttons, and vent at back. Lined."
ukbench00263,Stretch Shirt,"Fitted, long-sleeved shirt in stretch fabric with V-neck. Buttons at front and at cuffs."
ukbench00264,Stretch Shirt,"Fitted, long-sleeved shirt in stretch fabric with V-neck. Buttons at front and at cuffs."
ukbench00265,Embroidered Blouse,Sleeveless blouse in gently Cr?ped chiffon with an embroidered pattern at front. Opening at back of neck with button. Rounded hem. Lined.
ukbench00266,Sleeveless Blouse,"Sleeveless V-neck blouse in an airy, woven fabric. Concealed buttons at front, two chest pockets, and gently rounded hem."
ukbench00267,Jersey Top,"Top in jersey with short sleeves, chest pocket, and slits at sides. Rounded hem, slightly longer at back."
ukbench00268,Pattern-knit Cardigan,"Pattern-knit cardigan in a soft cotton blend. V-neck, long sleeves, and buttons at front."
ukbench00269,Mom Jeans,"5-pocket, ankle-length jeans in washed denim with heavily distressed details. High waist, gently tapered legs, and sewn-on patches."
ukbench00270,Oversized Sweater,"Fine-knit, oversized sweater with long sleeves. Wide-cut neckline and rounded hem. Slightly longer at back."
ukbench00271,Maxi Skirt,"Maxi skirt in sheer chiffon with elasticized waistband, high slits at sides, and short, attached liner skirt."
ukbench00272,Short Top,Sleeveless short top in woven fabric with a printed pattern. Lace trim at hem.
ukbench00273,Short Top,Sleeveless short top in woven fabric with a printed pattern. Lace trim at hem.
ukbench00274,Crocheted Sweater,Short crocheted sweater with long trumpet sleeves. Lace trim at cuffs and hem.
ukbench00275,Mom Jeans,"5-pocket jeans in washed stretch denim with a high waist, gently tapered legs, and heavily distressed details."
ukbench00276,Off-the-shoulder Dress,"Short, fitted dress in ribbed jersey with bare shoulders and short sleeves."
ukbench00277,Lace Bustier,V-neck bustier in lace with narrow shoulder straps. Lined.
ukbench00278,Lyocell Shirt Dress,"CONSCIOUS. Knee-length shirt dress in washed Tencel? lyocell denim. Short sleeves, buttons at front, and chest pockets with flap and button. Removable tie belt at waist."
ukbench00279,Chino Shorts,"Chino shorts in washed stretch fabric. Diagonal side pockets, welt back pockets, pleats at front, and sewn cuffs at hems."
ukbench00280,V-neck Blouse,"Straight-cut, V-neck blouse in woven fabric with short sleeves."
ukbench00281,V-neck Blouse,"Straight-cut, V-neck blouse in woven fabric with short sleeves."
ukbench00282,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps, elasticized drawstring waistband, side pockets, and short legs."
ukbench00283,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps, elasticized drawstring waistband, side pockets, and short legs."
ukbench00284,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps, elasticized drawstring waistband, side pockets, and short legs."
ukbench00285,Short-sleeved Cotton Shirt,"Fitted shirt in woven cotton fabric. Short sleeves with roll-up tab and button, and chest pockets with flap and button."
ukbench00286,Short-sleeved Cotton Shirt,"Fitted shirt in woven cotton fabric. Short sleeves with roll-up tab and button, and chest pockets with flap and button."
ukbench00287,Short-sleeved Cotton Shirt,"Fitted shirt in woven cotton fabric. Short sleeves with roll-up tab and button, and chest pockets with flap and button."
ukbench00288,Hooded Jacket,"Striped sweatshirt jacket with a jersey-lined drawstring hood. Zip at front, side pockets, and ribbing at cuffs and hem."
ukbench00289,Sleeveless Top,Sleeveless top in cotton jersey with lacing at neckline.
ukbench00290,Striped Shorts,"Short shorts in striped sweatshirt fabric. Side pockets, one back pocket, and zip fly with button."
ukbench00291,2-pack Tops,"CONSCIOUS. Short-sleeved, fitted tops in soft organic cotton jersey."
ukbench00292,Short Yoga Tights,"Short yoga tights in fast-drying, functional fabric. Wide foldover ribbing at waistband with a concealed mesh key pocket."
ukbench00293,Short Twill Shorts,"Short, 5-pocket slim-fit shorts in stretch cotton twill. Regular waist."
ukbench00294,Chino Shorts,"Knee-length chino shorts in washed twill. Side pockets, welt back pockets with button, and sewn cuffs at hems."
ukbench00295,Chino Shorts,"Knee-length chino shorts in washed twill. Side pockets, welt back pockets with button, and sewn cuffs at hems."
ukbench00296,Sleeveless Jumpsuit,"Jumpsuit in woven fabric with short legs. Narrow, adjustable shoulder straps, fastener at back, elasticized waistband, and side pockets."
ukbench00297,Sleeveless Jumpsuit,"Jumpsuit in woven fabric with short legs. Narrow, adjustable shoulder straps, fastener at back, elasticized waistband, and side pockets."
ukbench00298,Sleeveless Jumpsuit,"Jumpsuit in woven fabric with short legs. Narrow, adjustable shoulder straps, fastener at back, elasticized waistband, and side pockets."
ukbench00299,Shorts High waist,"Shorts in woven fabric with box pleats at top, side pockets, and high waist with elastication at back."
ukbench00300,Shorts High waist,"Shorts in woven fabric with box pleats at top, side pockets, and high waist with elastication at back."
ukbench00301,Shorts High waist,"Shorts in woven fabric with box pleats at top, side pockets, and high waist with elastication at back."
ukbench00302,MAMA Shorts,"Chino shorts in washed stretch cotton twill. Coin pocket, side pockets, and welt back pockets. Wide ribbing at waist for added comfort. Sewn cuffs at hems."
ukbench00303,2-pack Push-up Bras,"Push-up bras in jersey and lace with molded, padded underwire cups to maximize bust and cleavage."
ukbench00304,2-pack Push-up Bras,"Push-up bras in jersey and lace with molded, padded underwire cups to maximize bust and cleavage."
ukbench00305,2-pack Push-up Bras,"Push-up bras in jersey and lace with molded, padded underwire cups to maximize bust and cleavage."
ukbench00306,2-pack Strapless Bras,"Strapless push-up bras in a soft cotton blend with lace details. Molded, padded underwire cups to maximize bust and cleavage."
ukbench00307,5-pack Cotton Briefs,Briefs in jersey with lace trim and lined gusset.
ukbench00308,5-pack Cotton Briefs,Briefs in jersey with lace trim and lined gusset.
ukbench00309,3-pack Thongs,Thong in lace with lined gusset.
ukbench00310,3-pack Cotton Hipster Briefs,Low-rise hipster briefs in jersey and lace with a lined gusset.
ukbench00311,3-pack Cotton Hipster Briefs,Low-rise hipster briefs in jersey and lace with a lined gusset.
ukbench00312,Bandeau Bikini Top,"Bikini top with decorative beads at front and lightly padded cups with removable inserts. Ties at back and neck, boning at sides, and silicone trim inside upper edge. Lined."
ukbench00313,Bikini Bottoms High Waist,Fully lined bikini bottoms with a printed motif and a high waist.
ukbench00314,Bikini Bottoms,Fully lined bikini bottoms in lace with ties at sides.
ukbench00315,Bikini Top,"Bikini top with lace ruffle, lightly padded cups, and shoulder ties. Lined."
ukbench00316,Nightgown with Lace,"Nightgown in slightly stretchy, woven fabric with lace trim at top and at hem. Narrow, adjustable shoulder straps."
ukbench00317,Nightgown with Super Push-up,"Nightgown in lace and mesh. Lace-covered, padded underwire cups with super push-up effect. Narrow adjustable shoulder straps. Hook-and-eye fastener at back."
ukbench00318,Lace Balconette Bra,Lace-covered balconette bra with lightly padded underwire cups to maximize bust and cleavage. Detachable shoulder straps. Silicone trim at lower edge to keep bra in place.
ukbench00319,Lace Balconette Bra,Lace-covered balconette bra with lightly padded underwire cups to maximize bust and cleavage. Detachable shoulder straps. Silicone trim at lower edge to keep bra in place.
ukbench00320,Lace Balconette Bra,Lace-covered balconette bra with lightly padded underwire cups to maximize bust and cleavage. Detachable shoulder straps. Silicone trim at lower edge to keep bra in place.
ukbench00321,Seamless Briefs,Briefs in soft melange jersey with an elasticized waistband. Unlined gusset. Seamless.
ukbench00322,3-pack Boy Shorts,Boy shorts in soft jersey with wide lace trim at top and a lined gusset.
ukbench00323,Bikini Bottoms,Fully lined bikini bottoms with wide ties at sides.
ukbench00324,Super Push-up Bikini Top,"Fully lined bikini top with decorative draping on cups. Molded, padded underwire cups to maximize bust and cleavage. Wide ties at neck and metal fastener at back."
ukbench00325,Jersey Jumpsuit,"Jumpsuit in soft jersey with narrow, adjustable shoulder straps. Double-layer top section with a wrapover front. Elasticized seam at waist and short legs."
ukbench00326,Cotton Pajamas,"Pajamas in soft, woven cotton fabric with a printed pattern. Long-sleeved shirt with chest pocket, buttons at front, and buttons at cuffs. Short shorts with elasticized drawstring waistband."
ukbench00327,Hotpants-style Bikini Bottoms,Hotpants-style bikini bottoms with a regular waist. Elasticized drawstring waistband.
ukbench00328,Bikini Top,"Bikini top with lightly padded cups. Decorative knot detail at front, detachable ties at neck, and fastener at back. Boning at sides and silicone trim inside upper edge."
ukbench00329,Bikini Top,"Bikini top with lightly padded cups. Decorative knot detail at front, detachable ties at neck, and fastener at back. Boning at sides and silicone trim inside upper edge."
ukbench00330,Bikini Top,Lined bikini top with removable inserts. Ties at back and neck with decorative beads at ends.
ukbench00331,Bikini Top,"Lined bikini top with lightly padded underwire cups. Metal fastener and silicone trim at back. Detachable, bead-trimmed ties at back of neck (38B with detachable, adjustable shoulder straps; size 34D, 36C-36D and 38C-38D with attached, adjustable shoulder straps)."
ukbench00332,Bikini Bottoms,Fully lined bikini bottoms in lace with a tie detail at sides.
ukbench00333,Bikini Bottoms,Fully lined bikini bottoms. Ties at sides with beads at ends.
ukbench00334,Push-up Bikini Top,"Bikini top with ruffle trim at upper edge and a bow with beads at front. Molded, padded underwire cups for lifting and shaping. Ties at neck with beaded ends and metal fastener at back. Lined."
ukbench00335,Cotton Cardigan,"Fine-knit cotton cardigan with long sleeves. Round neck, buttons at front, and rib-knit hem and cuffs."
ukbench00336,Cotton Cardigan,"Fine-knit cotton cardigan with long sleeves. Round neck, buttons at front, and rib-knit hem and cuffs."
ukbench00337,Cotton Cardigan,"Fine-knit cotton cardigan with long sleeves. Round neck, buttons at front, and rib-knit hem and cuffs."
ukbench00338,Cotton Cardigan,"Fine-knit cotton cardigan with long sleeves. Round neck, buttons at front, and rib-knit hem and cuffs."
ukbench00339,Peplum Jacket,Long-sleeved peplum jacket in sweatshirt fabric. Zip at front and ribbing at cuffs.
ukbench00340,Floral Maxi Dress,"Maxi dress in woven fabric with a printed floral pattern and a gentle drape. Narrow adjustable shoulder straps, elasticized seam at waist, and high slits at front."
ukbench00341,Lyocell Denim Shorts,CONSCIOUS. Short shorts in soft washed denim made from Tencel? lyocell. Elasticized drawstring waistband. Pockets at back.
ukbench00342,Sleeveless Jersey Dress,Sleeveless knee-length dress in softly draping jersey. Elasticized seam at waist and scoop neckline at front and back.
ukbench00343,Sleeveless Jersey Dress,Sleeveless knee-length dress in softly draping jersey. Elasticized seam at waist and scoop neckline at front and back.
ukbench00344,Patterned Blouse,Sleeveless blouse in woven fabric with a printed pattern. Slits at sides and longer back section.
ukbench00345,Patterned Blouse,Sleeveless blouse in woven fabric with a printed pattern. Slits at sides and longer back section.
ukbench00346,Denim Shorts High Waist,"Short, 5-pocket shorts in faded denim with a high waist. Heavily distressed details, decorative studs at front and on belt loops, and raw-edge hems."
ukbench00347,Sleeveless Jersey Dress,"Sleeveless, fitted maxi dress in slub jersey with a racer back."
ukbench00348,Sleeveless Jersey Dress,"Sleeveless, fitted maxi dress in slub jersey with a racer back."
ukbench00349,Wide-cut Jersey Top,"Straight, wide-cut top in soft jersey with a gentle drape. Slightly lower neckline at front and cap sleeves."
ukbench00350,Wide-cut Jersey Top,"Straight, wide-cut top in soft jersey with a gentle drape. Slightly lower neckline at front and cap sleeves."
ukbench00351,Tank Top with Chest Pocket,"Sleeveless top in slub jersey with buttons at top, chest pocket, and a rounded hem."
ukbench00352,Tank Top with Chest Pocket,"Sleeveless top in slub jersey with buttons at top, chest pocket, and a rounded hem."
ukbench00353,Beaded Linen-blend Top,Short-sleeved top in linen-blend jersey with cut-out sections at front and beaded embroidery at neckline.
ukbench00354,Lyocell-blend Maxi Dress,"V-neck maxi dress in gently creped, woven fabric made from a Tencel? lyocell blend. Waist with a seam and cut-out sections with metal decorations. Narrow, adjustable shoulder straps, concealed zip, and high slit at back. Unlined."
ukbench00355,Lyocell-blend Maxi Dress,"V-neck maxi dress in gently creped, woven fabric made from a Tencel? lyocell blend. Waist with a seam and cut-out sections with metal decorations. Narrow, adjustable shoulder straps, concealed zip, and high slit at back. Unlined."
ukbench00356,Lace Maxi Skirt,Flared maxi skirt in lace with a concealed zip at back. Short jersey liner skirt.
ukbench00357,Sleeveless Lace Dress,"Sleeveless, fitted dress in lace. Seam at waist and wrap-style front on bodice and skirt. Jersey lining (unlined at upper back)."
ukbench00358,Halterneck Dress,Fitted black and glittery striped halterneck dress in airy jersey with high slit at back. Short liner dress.
ukbench00359,Flared Leggings,Leggings in imitation suede with a high waist and flared legs. Wide elastication at waist and a seam at knees.
ukbench00360,Slim-fit Pants High waist,Pants in washed superstretch twill with a high waist and slim legs. Mock pockets at front and regular pockets at back.
ukbench00361,Patterned Twill Shorts,"Short, slim-fit shorts in stretch twill with a printed pattern, side pockets with zip, and a high waist."
ukbench00362,Patterned Twill Shorts,"Short, slim-fit shorts in stretch twill with a printed pattern, side pockets with zip, and a high waist."
ukbench00363,Fine-knit Sweater,"Long-sleeved sweater in a loose, fine knit with lace trim at hem."
ukbench00364,Fine-knit Sweater,"Long-sleeved sweater in a loose, fine knit with lace trim at hem."
ukbench00365,Fine-knit Sweater,"Long-sleeved sweater in a loose, fine knit with lace trim at hem."
ukbench00366,Tank Top with Printed Design,"Tank top in jersey with a printed design at front, deep armholes, and seam at back."
ukbench00367,Jersey Skirt,Knee-length fitted skirt in jersey with elasticized waistband.
ukbench00368,Jersey Skirt,Knee-length fitted skirt in jersey with elasticized waistband.
ukbench00369,Jersey Skirt,Knee-length fitted skirt in jersey with elasticized waistband.
ukbench00370,Jersey Tank Top,"Fitted tank top in soft, stretch jersey with scoop neckline."
ukbench00371,Jersey Tank Top,"Fitted tank top in soft, stretch jersey with scoop neckline."
ukbench00372,Jersey Tank Top,"Fitted tank top in soft, stretch jersey with scoop neckline."
ukbench00373,Jersey Tank Top,"Fitted tank top in soft, stretch jersey with scoop neckline."
ukbench00374,Jersey Camisole Top,"Low-cut V-neck camisole top in soft jersey with narrow shoulder straps, seam at waist, and flounce to hem."
ukbench00375,Short Tank Top,Short tank top in cotton jersey with a printed pattern.
ukbench00376,Short Tank Top,Short tank top in cotton jersey with a printed pattern.
ukbench00377,Short Jersey Dress,"Short, A-line dress in jersey with narrow shoulder straps that cross at back."
ukbench00378,Short Jersey Dress,"Short, A-line dress in jersey with narrow shoulder straps that cross at back."
ukbench00379,Denim Shorts,5-pocket shorts in washed stretch denim with distressed details. Sewn cuffs at hems.
ukbench00380,Sports Tights,"Ankle-length sports tights in fast-drying, functional fabric. Wide ribbing at waist with concealed mesh key pocket."
ukbench00381,Sports Tights,"Ankle-length sports tights in fast-drying, functional fabric. Wide ribbing at waist with concealed mesh key pocket."
ukbench00382,Sports Shorts,Sports shorts in m?lange jersey. Elasticized drawstring waistband with concealed mesh key pocket. Unlined.
ukbench00383,Sports Shorts,"Short sports shorts in fast-drying, breathable functional fabric. Elasticized drawstring waistband with mesh key pocket. Mesh lining."
ukbench00384,Sports Shorts,"Short sports shorts in fast-drying, breathable functional fabric. Elasticized drawstring waistband with mesh key pocket. Mesh lining."
ukbench00385,Sports Shorts,"Short sports shorts in fast-drying, breathable functional fabric. Elasticized drawstring waistband with mesh key pocket. Mesh lining."
ukbench00386,Sports Shorts,"Short sports shorts in fast-drying, breathable functional fabric. Elasticized drawstring waistband with mesh key pocket. Mesh lining."
ukbench00387,MAMA Leggings,"CONSCIOUS. Leggings in soft, organic cotton jersey with a wide ribbed panel at waist for a more comfortable fit."
ukbench00388,MAMA Woven Top,"Sleeveless top in woven fabric with a visible zip at back of neck, rounded hem, and slits at sides."
ukbench00389,MAMA Super Skinny Jeans,Jeans in washed stretch denim with ultra-slim legs. Mock pockets at front and regular pockets at back. Wide ribbing at waist for added comfort.
ukbench00390,MAMA Jersey Top,CONSCIOUS. Fitted top in organic cotton jersey with short sleeves. Elastication at sides for improved fit.
ukbench00391,MAMA 2-pack Tops,CONSCIOUS. Fitted tops in organic cotton jersey with short sleeves. Elastication at sides for best fit.
ukbench00392,MAMA Jersey Tank Top,CONSCIOUS. Tank top in soft organic cotton jersey.
ukbench00393,Lace Underwire Bra,"Bra in lace with mesh-lined underwire cups for good support and a natural shape. Narrow, adjustable shoulder straps. Fastener at back."
ukbench00394,Thong in Mesh and Lace,Thong in mesh and lace with wide elastication at top. Lined gusset.
ukbench00395,Push-up Bra in Mesh,"Push-up bra in mesh with lace details. Molded, padded underwire cups to maximize bust and cleavage."
ukbench00396,Lace Thong,Thong in mesh with wide lace at top and a lined gusset.
ukbench00397,Bikini Bottoms,"Fully lined, striped bikini bottoms."
ukbench00398,Bikini Briefs,Fully lined bikini briefs with twisted fabric details at sides.
ukbench00399,Platform Sandals,"Platform sandals in imitation suede. Ankle strap with metal buckle at side and rubber soles. Front platform height 1 3/4 in., heel height 4 3/4 in."
ukbench00400,Jumpsuit with Lace,"Sleeveless jumpsuit in woven, Cr?ped fabric with lace details. V-neck at front and back, narrow shoulder straps, elasticized seam at waist, and short, wide-cut legs. Opening at back with button at back of neck. Lace trim at hems and at hem of top section."
ukbench00401,Lace Shorts,Short shorts in lace with side pockets and elasticized waistband.
ukbench00402,Satin Blouse,Blouse in woven satin fabric with a printed pattern and short ruffled sleeves. Opening at back of neck with concealed button.
ukbench00403,Satin Blouse,Blouse in woven satin fabric with a printed pattern and short ruffled sleeves. Opening at back of neck with concealed button.
ukbench00404,Woven Camisole Top,Wide-cut camisole top in woven fabric with a gathered neckline and narrow shoulder straps. Lined.
ukbench00405,Chiffon Dress,"CONSCIOUS. Sleeveless, patterned long dress in chiffon. Lined bodice with narrow shoulder straps and elasticized seam at waist. Knee-length liner skirt. Made from recycled polyester."
ukbench00406,Lace-trimmed Shorts,Shorts in crinkled cotton fabric with wide lace trim at hems. Elasticized waistband and side pockets.
ukbench00407,Hemstitch Jumpsuit,"Jumpsuit in airy woven fabric with decorative hemstitching. V-neck, short trumpet sleeves, and side pockets.  Elasticized seam and ties at waist and buttons at back."
ukbench00408,Circle-skirt Dress,Sleeveless jersey dress with a low-cut V-neck at back and a circle skirt.
ukbench00409,Patterned Dress,"Short, off-the-shoulder dress in woven fabric with a printed design. Ruffle at top. Elasticized waist."
ukbench00410,Patterned Maxi Dress,"Long dress in crinkled, woven fabric with a printed pattern. Lacing at front, low-cut V-neck at back joined with a narrow strap at back of neck, and 3/4-length sleeves with flounce at cuffs. Elasticized seam at waist. Unlined."
ukbench00411,Embroidered Dress,"Flared dress in crinkled woven fabric with embroidery and lace trim at front. Narrow, adjustable shoulder straps, smocking at back, and seam at waist. Lined with a liner skirt."
ukbench00412,Patterned Shorts,"Shorts in woven fabric with a printed pattern, elasticized waistband, side pockets, and short legs."
ukbench00413,Patterned Shorts,"Shorts in woven fabric with a printed pattern, elasticized waistband, side pockets, and short legs."
ukbench00414,Patterned Shorts,"Shorts in woven fabric with a printed pattern, elasticized waistband, side pockets, and short legs."
ukbench00415,Patterned Shorts,"Shorts in woven fabric with a printed pattern, elasticized waistband, side pockets, and short legs."
ukbench00416,Maxi Dress,"Long, sleeveless jersey dress with narrow shoulder straps. Elasticized seam at waist. Unlined."
ukbench00417,Maxi Dress,"Long, sleeveless jersey dress with narrow shoulder straps. Elasticized seam at waist. Unlined."
ukbench00418,Wrap-front Skirt,"Knee-length skirt with a wrap front, elasticized waistband, seam at back, and raw edges."
ukbench00419,Sleeveless Dress,"Short, sleeveless dress in woven fabric with a hole-patterned section at front. Narrow adjustable shoulder straps, seam at waist, and flared skirt. Unlined."
ukbench00420,Sleeveless Dress,"Short, sleeveless dress in woven fabric with a hole-patterned section at front. Narrow adjustable shoulder straps, seam at waist, and flared skirt. Unlined."
ukbench00421,Short Skirt,"Short, gently flared skirt in woven fabric with a printed pattern. Elasticized waistband. Unlined."
ukbench00422,Short Skirt,"Short, gently flared skirt in woven fabric with a printed pattern. Elasticized waistband. Unlined."
ukbench00423,Patterned Jersey Dress,"Sleeveless dress in cotton jersey with a printed pattern. Narrow shoulder straps, seam at waist, and circle skirt."
ukbench00424,Dress with Butterfly Sleeves,"Short, V-neck dress in woven fabric with short butterfly sleeves. Narrow tie belt at waist. Unlined."
ukbench00425,Beach Dress,"Straight-cut, V-neck dress in airy jersey with short sleeves. Removable tie belt at waist."
ukbench00426,Patterned Skirt,"Short skirt in woven fabric with a printed pattern, wide elastication at waist, and removable tie belt. Unlined."
ukbench00427,V-neck Tank Top,"Tank top in airy jersey with narrow shoulder straps, V-neck at front and back, and a rounded hem."
ukbench00428,V-neck Tank Top,"Tank top in airy jersey with narrow shoulder straps, V-neck at front and back, and a rounded hem."
ukbench00429,V-neck Tank Top,"Tank top in airy jersey with narrow shoulder straps, V-neck at front and back, and a rounded hem."
ukbench00430,Denim Shorts,"Short, 5-pocket shorts in washed stretch denim with a regular waist. Coin pocket and back pockets with flap and snap fastener. Slim legs with sewn cuffs at hems."
ukbench00431,Ribbed Dress,"Fitted, sleeveless dress in ribbed jersey."
ukbench00432,Ribbed Dress,"Fitted, sleeveless dress in ribbed jersey."
ukbench00433,Jersey Top,Short-sleeved top in jersey with chest pocket.
ukbench00434,Jersey Top,Short-sleeved top in jersey with chest pocket.
ukbench00435,Jersey Top,Short-sleeved top in jersey with chest pocket.
ukbench00436,Short Jersey Top,"Short, wide-cut top in jersey with a printed design and short sleeves."
ukbench00437,Short Jersey Top,"Short, wide-cut top in jersey with a printed design and short sleeves."
ukbench00438,Short Jersey Top,"Short, wide-cut top in jersey with a printed design and short sleeves."
ukbench00439,Crocheted Top,"Short, sleeveless top in soft, crocheted cotton fabric."
ukbench00440,Fine-knit Cardigan,"Fine-knit, semi-sheer cardigan in slub yarn with no buttons."
ukbench00441,Fine-knit Cardigan,"Fine-knit, semi-sheer cardigan in slub yarn with no buttons."
ukbench00442,Fine-knit Cardigan,"Cardigan in a loose, fine knit with long sleeves and no buttons."
ukbench00443,Fine-knit Cardigan,"Cardigan in a loose, fine knit with long sleeves and no buttons."
ukbench00444,Fine-knit Cardigan,"Cardigan in a loose, fine knit with long sleeves and no buttons."
ukbench00445,Fine-knit Cardigan,"Cardigan in a loose, fine knit with long sleeves and no buttons."
ukbench00446,Fine-knit Cardigan,"Cardigan in a fine, loose knit with long sleeves and no buttons."
ukbench00447,Short Jersey Top,"Short, fitted top in jersey with a slightly lower-cut neckline at back and short sleeves."
ukbench00448,Short Jersey Top,"Short, fitted top in jersey with a slightly lower-cut neckline at back and short sleeves."
ukbench00449,Jersey Top,Short-sleeved jersey top in a cotton blend with hemstitch embroidery around shoulder seams. Slightly longer at back.
ukbench00450,V-neck Tank Top,V-neck tank top in jersey with a soft drape. Glittery metal chain trim at neckline.
ukbench00451,V-neck Tank Top,V-neck tank top in jersey with a soft drape. Glittery metal chain trim at neckline.
ukbench00452,2-piece Pajamas,"Pajama tank top and shorts in soft, woven fabric with a printed pattern and lace trim. V-neck top with decorative buttons at front, elasticized seam below bust, and narrow, adjustable shoulder straps. Shorts with elasticized drawstring waistband."
ukbench00453,2-piece Pajamas,"Pajama tank top and shorts in soft, woven fabric with a printed pattern and lace trim. V-neck top with decorative buttons at front, elasticized seam below bust, and narrow, adjustable shoulder straps. Shorts with elasticized drawstring waistband."
ukbench00454,Jersey Pajamas,Pajamas with a top and shorts in soft cotton jersey with lace trim. Top with narrow adjustable shoulder straps. Shorts with elasticized drawstring waistband.
ukbench00455,Jersey Pajamas,Pajamas with a top and shorts in soft cotton jersey with lace trim. Top with narrow adjustable shoulder straps. Shorts with elasticized drawstring waistband.
ukbench00456,Satin Kimono,Kimono in airy satin with concealed inner tie at waist and attached tie belt.
ukbench00457,Bikini Bottoms,Fully lined bikini bottoms with wide ties at sides.
ukbench00458,Bikini Top,"Bikini top with molded, lightly padded underwire cups. Metal fastener at back, ties at neck, and bow at front."
ukbench00459,Bikini Bottoms,Fully lined bikini bottoms with wide ties at sides.
ukbench00460,Swimsuit with Printed Design,Lined swimsuit with a printed design. Low-cut neckline at back. Narrow adjustable shoulder straps can be fastened various ways.
ukbench00461,Sandalettes,Sandalettes in imitation leather with an ankle strap and metal buckle. Rubber soles. Heel height 3 1/4 in.
ukbench00462,V-neck Blouse,V-neck blouse in woven fabric with short sleeves.
ukbench00463,Sleeveless Jumpsuit,"Sleeveless jumpsuit in jersey with an elasticized seam at waist and short, wide-cut legs."
ukbench00464,Crinkled Blouse,Wide-cut blouse in crinkled woven fabric with a V-neck and pleat at front. Short sleeves with sewn cuffs. Gently rounded hem.
ukbench00465,Crinkled Blouse,Wide-cut blouse in crinkled woven fabric with a V-neck and pleat at front. Short sleeves with sewn cuffs. Gently rounded hem.
ukbench00466,Patterned Shorts,CONSCIOUS. Shorts in woven fabric with a slight sheen and a printed pattern. Elasticized waistband and side pockets. Made partly from recycled polyester.
ukbench00467,Patterned Shorts,CONSCIOUS. Shorts in woven fabric with a slight sheen and a printed pattern. Elasticized waistband and side pockets. Made partly from recycled polyester.
ukbench00468,Shorts with Tie Belt,Shorts in woven fabric. High waist with elastication and tie belt. Side pockets and one welt back pocket.
ukbench00469,Wide-leg Jersey Pants,Wide-cut pants in jersey with a heavy drape. High waist with smocking.
ukbench00470,Jersey Top,Fitted top in jersey with a low-cut neckline at back and short sleeves.
ukbench00471,Ribbed Jersey Dress,"Sleeveless, V-neck dress in ribbed jersey. Racer back, rounded hem, and jersey lining."
ukbench00472,Textured Skirt,"Flared skirt in thick, textured jersey with box pleats. Unlined."
ukbench00473,Textured Skirt,"Flared skirt in thick, textured jersey with box pleats. Unlined."
ukbench00474,Sleeveless Top,Sleeveless top in jersey with a decorative metal detail at neckline. Gathers at front and button at back of neck. Lined.
ukbench00475,Sleeveless Top,Sleeveless top in jersey with a decorative metal detail at neckline. Gathers at front and button at back of neck. Lined.
ukbench00476,Flared Jersey Shorts,Short shorts in jersey with wide legs and a high waist. Elasticized waistband.
ukbench00477,Jersey Top with Printed Design,Fitted top in cotton jersey with a printed design and short sleeves. Rolled raw edges at neckline and sleeves.
ukbench00478,Jersey Top with Printed Design,Fitted top in cotton jersey with a printed design and short sleeves. Rolled raw edges at neckline and sleeves.
