ID,NAME,DESCRIPTION
ukbench00067,MAMA Jersey Top,Top in jersey with a printed design and short sleeves.
ukbench00068,Sleeveless Dress,"Short, sleeveless dress in jersey with a seam at waist, racer back, and circle skirt."
ukbench00069,Sleeveless Dress,"Short, sleeveless dress in jersey with a seam at waist, racer back, and circle skirt."
ukbench00070,Sleeveless Dress,"Short, sleeveless dress in jersey with a seam at waist, racer back, and circle skirt."
ukbench00071,Sleeveless Dress,"Short, sleeveless dress in jersey with a seam at waist, racer back, and circle skirt."
ukbench00072,Sleeveless Dress,"Short, sleeveless dress in jersey with a seam at waist, racer back, and circle skirt."
ukbench00073,Sleeveless Chiffon Blouse,"Sleeveless blouse in chiffon with a printed pattern. Collar, pearlescent buttons at front, and rounded hem. Slightly longer at back."
ukbench00074,Sleeveless Chiffon Blouse,"Sleeveless blouse in chiffon with a printed pattern. Collar, pearlescent buttons at front, and rounded hem. Slightly longer at back."
ukbench00075,Twill Shorts,5-pocket shorts in washed stretch twill with a regular waist. Sewn cuffs at hems.
ukbench00076,Twill Shorts,5-pocket shorts in washed stretch twill with a regular waist. Sewn cuffs at hems.
ukbench00077,Twill Shorts,5-pocket shorts in washed stretch twill with a regular waist. Sewn cuffs at hems.
ukbench00078,Sleeveless Jersey Dress,"Sleeveless dress in jersey with lace details, opening and button at back of neck, and narrow tie belt."
ukbench00079,Lace Dress,Sleeveless dress in crocheted lace with low-cut front and back neckline. Slits at sides of hem. Jersey liner dress with narrow shoulder straps.
ukbench00080,V-neck Blouse,"Wide-cut blouse in airy woven fabric with short sleeves, V-neck, and buttons at front."
ukbench00081,V-neck Jumpsuit,"V-neck jumpsuit in woven fabric with a soft drape. Concealed buttons at front, long sleeves with button at cuffs, elasticized seam and drawstring at waist, and side pockets. Short legs with sewn cuffs."
ukbench00082,Cr?pe Blouse,"Short-sleeved, gently flared blouse in woven Cr?pe fabric with a button at back of neck and a rounded hem. Slightly longer at back."
ukbench00083,Cr?pe Blouse,"Short-sleeved, gently flared blouse in woven Cr?pe fabric with a button at back of neck and a rounded hem. Slightly longer at back."
ukbench00084,Cr?pe Blouse,"Short-sleeved, gently flared blouse in woven Cr?pe fabric with a button at back of neck and a rounded hem. Slightly longer at back."
ukbench00085,Wide-cut Cotton Shorts,"Short, wide-cut shorts in woven cotton fabric with pleat at front. Elasticized waistband, side-seam pockets, and sewn cuffs at hems."
ukbench00086,Sleeveless Blouse,"Sleeveless blouse in airy, woven fabric with buttons at front."
ukbench00087,Sleeveless Blouse,"Sleeveless blouse in airy, woven fabric with buttons at front."
ukbench00088,Denim Shirt,"Wide, straight-cut shirt in washed denim. Buttons at front, chest pockets, and 3/4-length sleeves."
ukbench00089,Sleeveless Blouse,Sleeveless V-neck blouse in airy woven fabric with a sewn pleat at center front and a rounded hem. Slightly longer at back.
ukbench00090,Short Sweatshorts,"Short shorts in sweatshirt fabric. Elasticized drawstring waistband, side pockets, and pleats at front."
