COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10002,宜蘭縣,10002100,三星鄉,117.06,2.58,148.66,37.08,12.58,24.51,194.87,104Y12M
10002,宜蘭縣,10002110,大同鄉,118.71,3.22,9.25,38.88,26.5,12.38,46.72,104Y12M
10002,宜蘭縣,10002090,五結鄉,107.3,2.74,1017.8,31.95,13.05,18.89,144.71,104Y12M
10002,宜蘭縣,10002080,冬山鄉,105.8,2.84,671.62,35.22,16.61,18.6,111.97,104Y12M
10002,宜蘭縣,10002060,壯圍鄉,112.4,2.84,630.46,32.7,12.82,19.89,155.14,104Y12M
10002,宜蘭縣,10002010,宜蘭市,95.45,2.7,3266.15,37.66,19.79,17.87,90.3,104Y12M
10002,宜蘭縣,10002120,南澳鄉,110.1,3.16,8.17,41.61,29.77,11.84,39.78,104Y12M
10002,宜蘭縣,10002070,員山鄉,112.99,2.81,288.42,33.64,13.74,19.9,144.88,104Y12M
10002,宜蘭縣,10002040,頭城鎮,106.61,2.94,295.34,37.19,15.61,21.58,138.26,104Y12M
10002,宜蘭縣,10002050,礁溪鄉,109.25,2.64,353.34,35.77,14.78,20.99,142.01,104Y12M
10002,宜蘭縣,10002020,羅東鎮,90.62,2.78,6382.13,42.09,23.75,18.34,77.24,104Y12M
10002,宜蘭縣,10002030,蘇澳鎮,103.98,2.89,457.49,37.87,14.96,22.92,153.21,104Y12M
10015,花蓮縣,10015030,玉里鎮,114.98,2.8,99.11,43.39,16.37,27.02,165.11,104Y12M
10015,花蓮縣,10015070,光復鄉,113.62,2.63,84.14,42.02,13.46,28.56,212.13,104Y12M
10015,花蓮縣,10015050,吉安鄉,102.68,2.64,1275.55,29.4,13.98,15.42,110.26,104Y12M
10015,花蓮縣,10015110,秀林鄉,107,3.28,9.54,33.77,23.71,10.06,42.42,104Y12M
10015,花蓮縣,10015130,卓溪鄉,122.36,3.61,5.91,31.32,19.75,11.57,58.59,104Y12M
10015,花蓮縣,10015010,花蓮市,94.01,2.55,3594.89,39.19,21.52,17.67,82.1,104Y12M
10015,花蓮縣,10015100,富里鄉,120.28,2.65,60.29,46.84,15.23,31.61,207.52,104Y12M
10015,花蓮縣,10015040,新城鄉,106.75,2.66,687.4,33.55,16.97,16.59,97.78,104Y12M
10015,花蓮縣,10015090,瑞穗鄉,116.44,2.53,87.96,41.37,13.86,27.51,198.55,104Y12M
10015,花蓮縣,10015120,萬榮鄉,111.67,3.08,10.38,29.78,19.41,10.37,53.44,104Y12M
10015,花蓮縣,10015060,壽豐鄉,114.61,2.58,83.29,38.06,13.76,24.3,176.67,104Y12M
10015,花蓮縣,10015020,鳳林鎮,109.76,2.52,92.23,47.79,13.91,33.88,243.59,104Y12M
10015,花蓮縣,10015080,豐濱鄉,125.36,2.64,27.96,37.94,10.75,27.19,252.82,104Y12M
9020,金門縣,9020020,金沙鎮,98,3.26,488.15,29.46,12.61,16.85,133.59,104Y12M
9020,金門縣,9020010,金城鎮,100.79,3.34,1950.17,28.81,14.76,14.05,95.22,104Y12M
9020,金門縣,9020030,金湖鎮,101.6,3.31,681.17,28.31,14.48,13.82,95.45,104Y12M
9020,金門縣,9020040,金寧鄉,101.9,3.62,965.8,23.57,11.34,12.23,107.9,104Y12M
9020,金門縣,9020050,烈嶼鄉,98.79,4.05,777.98,27.86,11.16,16.7,149.59,104Y12M
9020,金門縣,9020060,烏坵鄉,99.7,4.98,552.5,33.94,21.01,12.93,61.54,104Y12M
10008,南投縣,10008080,中寮鄉,119.27,2.71,104.69,43.66,13.64,30.02,220.03,104Y12M
10008,南投縣,10008130,仁愛鄉,107.02,3.2,12.38,37.51,24.3,13.21,54.36,104Y12M
10008,南投縣,10008110,水里鄉,110.55,2.55,171.65,40.28,13.81,26.47,191.58,104Y12M
10008,南投縣,10008060,名間鄉,110.64,3.15,477.35,38.4,15.02,23.38,155.72,104Y12M
10008,南投縣,10008040,竹山鎮,105.53,2.8,226.63,39.23,16.17,23.06,142.65,104Y12M
10008,南投縣,10008120,信義鄉,116.01,3.15,11.62,34.59,20.78,13.81,66.48,104Y12M
10008,南投縣,10008010,南投市,100.71,2.95,1419.26,36.6,17.79,18.81,105.73,104Y12M
10008,南投縣,10008020,埔里鎮,100.62,2.84,506.78,36.07,16.35,19.72,120.6,104Y12M
10008,南投縣,10008030,草屯鎮,102.2,3.02,950.06,34.55,16.73,17.81,106.44,104Y12M
10008,南投縣,10008100,國姓鄉,118.19,2.65,110.19,39.2,13.01,26.19,201.22,104Y12M
10008,南投縣,10008090,魚池鄉,110.05,2.83,134.21,41.35,14.3,27.05,189.14,104Y12M
10008,南投縣,10008070,鹿谷鄉,113.76,2.37,128.5,39.95,12.07,27.88,231.11,104Y12M
10008,南投縣,10008050,集集鎮,108.68,2.58,225.81,42.94,14.18,28.76,202.78,104Y12M
10013,屏東縣,10013080,九如鄉,107.5,3.23,525.72,33.2,14.48,18.72,129.32,104Y12M
10013,屏東縣,10013260,三地門鄉,101.7,3.36,39.21,32.8,19.78,13.02,65.82,104Y12M
10013,屏東縣,10013130,內埔鄉,107.56,3.01,679.78,35.56,14.03,21.53,153.48,104Y12M
10013,屏東縣,10013140,竹田鄉,112.78,3.11,603.44,36.48,11.61,24.86,214.07,104Y12M
10013,屏東縣,10013330,牡丹鄉,105.74,2.56,26.22,32.64,16.56,16.08,97.14,104Y12M
10013,屏東縣,10013230,車城鄉,117.12,2.56,178.87,43.99,14.86,29.13,196.09,104Y12M
10013,屏東縣,10013090,里港鄉,103.54,3.32,392.33,39.3,18.57,20.74,111.68,104Y12M
10013,屏東縣,10013210,佳冬鄉,108.34,2.85,642.42,39.14,12.76,26.37,206.63,104Y12M
10013,屏東縣,10013300,來義鄉,103.71,3.39,45.12,29.93,17.51,12.43,70.98,104Y12M
