COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
67000,臺南市,67000090,六甲區,107.07,2.87,332.12,40.08,15.29,24.78,162.05,106Y12M
67000,臺南市,67000170,北門區,102.83,2.63,176.42,35.25,11.34,23.91,210.87,106Y12M
67000,臺南市,67000340,北區,94.78,2.61,13542.78,37.44,18.04,19.4,107.54,106Y12M
67000,臺南市,67000260,左鎮區,127.64,2.47,66.99,48.89,8.76,40.12,457.84,106Y12M
67000,臺南市,67000310,永康區,97.11,2.78,5721.21,31.05,18.31,12.74,69.61,106Y12M
67000,臺南市,67000230,玉井區,107.19,2.75,188.52,43.32,12.91,30.4,235.45,106Y12M
67000,臺南市,67000030,白河區,109.46,2.63,222.15,48.53,13.25,35.28,266.17,106Y12M
67000,臺南市,67000360,安平區,90.68,2.59,5839.05,30.91,18.1,12.81,70.75,106Y12M
67000,臺南市,67000210,安定區,105.78,3.02,947.19,34.41,15.39,19.02,123.64,106Y12M
67000,臺南市,67000350,安南區,101.55,3.06,1643.44,32.22,18.85,13.37,70.91,106Y12M
67000,臺南市,67000140,西港區,102.11,3.02,738.73,35.37,13.63,21.75,159.59,106Y12M
67000,臺南市,67000120,佳里區,98.54,2.87,1519.52,36.59,16.09,20.5,127.37,106Y12M
67000,臺南市,67000100,官田區,103.94,2.7,297.03,36.19,13.11,23.07,175.98,106Y12M
67000,臺南市,67000060,東山區,113.35,2.51,170.1,46.47,12.71,33.76,265.72,106Y12M
67000,臺南市,67000320,東區,92.06,2.6,14472.31,37.52,19.72,17.8,90.25,106Y12M
67000,臺南市,67000250,南化區,117.39,3.05,51.28,43.88,12.2,31.68,259.73,106Y12M
67000,臺南市,67000330,南區,98.13,2.74,4499.67,34.79,13.93,20.86,149.75,106Y12M
67000,臺南市,67000050,後壁區,108.51,2.67,325.14,48.15,12.22,35.93,293.92,106Y12M
67000,臺南市,67000040,柳營區,109.26,2.7,344.8,40.14,12.07,28.07,232.61,106Y12M
67000,臺南市,67000160,將軍區,103.83,2.73,421.9,39.05,10.47,28.58,273.09,106Y12M
67000,臺南市,67000070,麻豆區,103.43,2.82,811.68,41.88,16.37,25.51,155.83,106Y12M
67000,臺南市,67000190,善化區,101.32,2.74,899.54,42.19,21.54,20.65,95.89,106Y12M
67000,臺南市,67000180,新化區,103.98,3.02,704.33,37.01,15.54,21.47,138.15,106Y12M
67000,臺南市,67000200,新市區,100.59,2.97,731.44,35.8,19.42,16.39,84.39,106Y12M
67000,臺南市,67000010,新營區,97.81,2.69,2067.02,39.66,18.22,21.44,117.68,106Y12M
67000,臺南市,67000240,楠西區,112.21,2.76,89.19,44.08,12.37,31.72,256.47,106Y12M
67000,臺南市,67000130,學甲區,104.31,2.7,476.4,36.41,13.41,23,171.56,106Y12M
67000,臺南市,67000300,龍崎區,115.25,2.63,64.75,45.46,8,37.46,468.47,106Y12M
67000,臺南市,67000280,歸仁區,103.21,3.01,1245.61,33.29,17.47,15.82,90.58,106Y12M
67000,臺南市,67000290,關廟區,106.63,3.09,643.62,37.36,13.85,23.51,169.68,106Y12M
67000,臺南市,67000020,鹽水區,109.44,2.55,498.2,41.43,14.33,27.1,189.12,106Y12M
10016,澎湖縣,10016060,七美鄉,109,2.81,518.44,36.83,14.44,22.39,155.04,106Y12M
10016,澎湖縣,10016030,白沙鄉,109.9,2.89,429.83,38.13,13.92,24.22,174.01,106Y12M
10016,澎湖縣,10016040,西嶼鄉,106.89,2.79,427.52,43.58,14.43,29.15,202.01,106Y12M
10016,澎湖縣,10016010,馬公市,103.57,2.53,1784.97,33.87,15.36,18.51,120.5,106Y12M
10016,澎湖縣,10016050,望安鄉,117.75,2.56,356.32,39.4,12.95,26.45,204.16,106Y12M
10016,澎湖縣,10016020,湖西鄉,111.64,2.61,423.03,37.79,13.92,23.87,171.42,106Y12M
