COUNTY_ID,COUNTY,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10002,宜蘭縣,102.62,2.74,213.44,37.44,17.07,20.37,119.3,"105Y12M"
10015,花蓮縣,103.59,2.64,71.49,37.3,17.12,20.19,117.93,"105Y12M"
09020,金門縣,100.04,3.44,890.92,27.86,12.94,14.92,115.32,"105Y12M"
10008,南投縣,105.21,2.85,123.02,37.75,15.9,21.85,137.47,"105Y12M"
10013,屏東縣,104.83,2.92,301.12,35.9,15.25,20.65,135.43,"105Y12M"
10005,苗栗縣,106.56,3.01,307.19,39.71,19.03,20.68,108.65,"105Y12M"
68000,桃園市,99.57,2.79,1759.09,34.32,20.59,13.72,66.63,"105Y12M"
64000,高雄市,98.48,2.57,942.92,34.79,16.67,18.12,108.67,"105Y12M"
10017,基隆市,100.51,2.45,2802.83,33.06,14.49,18.58,128.24,"105Y12M"
09007,連江縣,132.51,4.74,437.33,29.66,16.41,13.25,80.74,"105Y12M"
10009,雲林縣,108.11,2.9,538.31,41.38,17.21,24.16,140.37,"105Y12M"
65000,新北市,96.32,2.61,1938.65,32.38,16.88,15.5,91.82,"105Y12M"
10018,新竹市,97.77,2.73,4199.,39.76,24.38,15.38,63.11,"105Y12M"
10004,新竹縣,104.7,2.92,383.51,39.75,23.41,16.35,69.84,"105Y12M"
10020,嘉義市,94.91,2.73,4495.98,38.38,19.79,18.6,93.99,"105Y12M"
10010,嘉義縣,108.45,2.82,270.7,39.21,14.3,24.92,174.29,"105Y12M"
10007,彰化縣,104.18,3.35,1198.02,38.59,18.89,19.7,104.3,"105Y12M"
66000,臺中市,97.53,2.93,1249.38,34.59,19.9,14.68,73.78,"105Y12M"
63000,臺北市,91.7,2.57,9917.98,41.77,19.73,22.04,111.73,"105Y12M"
10014,臺東縣,107.14,2.67,62.81,37.64,17.03,20.61,120.98,"105Y12M"
67000,臺南市,100.01,2.78,860.55,35.71,17.02,18.69,109.78,"105Y12M"
10016,澎湖縣,106.07,2.63,813.97,35.52,15.07,20.45,135.63,"105Y12M"
