COUNTY_ID,COUNTY,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10002,宜蘭縣,102.37,2.71,208.38,37.99,16.82,21.16,125.78,"106Y12M"
10015,花蓮縣,103.16,2.61,71.56,37.94,16.8,21.15,125.91,"106Y12M"
09020,金門縣,99.98,3.44,742.98,28.34,12.62,15.71,124.49,"106Y12M"
10008,南投縣,105.08,2.81,122.28,38.21,15.37,22.83,148.53,"106Y12M"
10013,屏東縣,104.69,2.89,297.49,36.52,14.92,21.61,144.86,"106Y12M"
10005,苗栗縣,106.67,2.95,303.18,39.76,18.22,21.54,118.23,"106Y12M"
68000,桃園市,99.2,2.77,1810.43,35.03,20.47,14.56,71.16,"106Y12M"
64000,高雄市,98.15,2.54,936.83,35.78,16.48,19.31,117.19,"106Y12M"
10017,基隆市,100.15,2.43,2802.81,34.18,14.31,19.88,138.95,"106Y12M"
09007,連江縣,132.87,4.51,489.91,29.51,15.83,13.69,86.47,"106Y12M"
10009,雲林縣,107.82,2.87,509.12,41.57,16.72,24.85,148.67,"106Y12M"
65000,新北市,96.07,2.58,1936.15,33.51,16.68,16.82,100.85,"106Y12M"
10018,新竹市,97.55,2.7,3699.81,40.42,24.26,16.16,66.59,"106Y12M"
10004,新竹縣,104.43,2.89,391.19,39.91,23.14,16.77,72.46,"106Y12M"
10020,嘉義市,94.62,2.71,4515.23,39.11,19.42,19.69,101.43,"106Y12M"
10010,嘉義縣,108.39,2.8,262.04,39.43,13.69,25.74,188.11,"106Y12M"
10007,彰化縣,103.95,3.31,1064.7,39.02,18.48,20.54,111.18,"106Y12M"
66000,臺中市,97.25,2.91,1261.22,35.36,19.79,15.57,78.68,"106Y12M"
63000,臺北市,91.48,2.55,9964.1,43.17,19.73,23.43,118.74,"106Y12M"
10014,臺東縣,106.8,2.65,61.43,38.09,16.6,21.49,129.4,"106Y12M"
67000,臺南市,99.79,2.76,836.05,36.55,16.92,19.64,116.1,"106Y12M"
10016,澎湖縣,106.39,2.61,778.57,35.93,14.81,21.12,142.62,"106Y12M"
