COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10010,嘉義縣,10010060,溪口鄉,115.14,2.78,451.88,45.18,12.35,32.83,265.91,105Y12M
10010,嘉義縣,10010100,義竹鄉,108.07,2.52,237.37,45.47,10.73,34.74,323.85,105Y12M
10007,彰化縣,10007180,二水鄉,110.28,2.92,526.41,46.01,14.41,31.59,219.22,105Y12M
10007,彰化縣,10007200,二林鎮,106.2,3.44,554.84,43.04,17.7,25.34,143.14,105Y12M
10007,彰化縣,10007130,大村鄉,107.52,3.33,1194.2,31.81,15.09,16.71,110.71,105Y12M
10007,彰化縣,10007240,大城鄉,117.87,3.26,271.16,51.96,15.84,36.12,227.97,105Y12M
10007,彰化縣,10007190,北斗鎮,101.72,3.14,1727.01,39.31,19.39,19.92,102.7,105Y12M
10007,彰化縣,10007160,永靖鄉,107.72,3.45,1830.25,37.04,17.57,19.47,110.84,105Y12M
10007,彰化縣,10007120,田中鎮,106.75,3.22,1218.07,40.45,17.04,23.41,137.34,105Y12M
10007,彰化縣,10007210,田尾鄉,106.79,3.48,1146.83,38.97,17.15,21.81,127.15,105Y12M
10007,彰化縣,10007250,竹塘鄉,111.08,3.35,367.38,50.75,19.11,31.64,165.53,105Y12M
10007,彰化縣,10007050,伸港鄉,104.32,3.73,1646.27,36.07,20.31,15.76,77.6,105Y12M
10007,彰化縣,10007070,秀水鄉,106.56,3.71,1340.75,36.36,19.8,16.56,83.63,105Y12M
10007,彰化縣,10007030,和美鎮,104.04,3.43,2282.79,34.41,19.17,15.24,79.5,105Y12M
10007,彰化縣,10007170,社頭鄉,105.61,3.37,1199.12,36.65,17.14,19.5,113.76,105Y12M
10007,彰化縣,10007230,芳苑鄉,112.2,3.36,372.49,44.58,14.75,29.83,202.3,105Y12M
10007,彰化縣,10007080,花壇鄉,105.5,3.29,1269.49,33.11,16.45,16.66,101.3,105Y12M
10007,彰化縣,10007090,芬園鄉,110.78,3.49,628.11,39.22,15.28,23.94,156.7,105Y12M
10007,彰化縣,10007100,員林市,98.84,3.2,3120.34,39.22,21.26,17.96,84.46,105Y12M
10007,彰化縣,10007150,埔心鄉,106.54,3.32,1660.32,34.08,15.86,18.23,114.95,105Y12M
10007,彰化縣,10007140,埔鹽鄉,110.65,3.63,849.1,39.23,15.58,23.64,151.73,105Y12M
10007,彰化縣,10007220,埤頭鄉,108.4,3.42,720.38,42.41,18.4,24.01,130.49,105Y12M
10007,彰化縣,10007020,鹿港鎮,103.48,3.56,2197.25,39.26,21.53,17.73,82.32,105Y12M
10007,彰化縣,10007260,溪州鄉,109.62,3.39,400.77,44.05,17.51,26.53,151.5,105Y12M
10007,彰化縣,10007110,溪湖鎮,103.41,3.43,1736.63,39.56,21.55,18.02,83.62,105Y12M
10007,彰化縣,10007010,彰化市,97.87,3.09,3572.43,38.84,20.79,18.06,86.88,105Y12M
10007,彰化縣,10007060,福興鄉,108.68,3.75,951.61,35.93,17.62,18.3,103.85,105Y12M
10007,彰化縣,10007040,線西鄉,106.83,3.87,936.6,35.9,18.38,17.52,95.33,105Y12M
66000,臺中市,66000110,大甲區,101.44,3.39,1327.02,38.38,21.46,16.93,78.9,105Y12M
66000,臺中市,66000220,大安區,111.93,3.56,708.24,36.68,15.05,21.63,143.75,105Y12M
66000,臺中市,66000240,大肚區,104.38,3.28,1546.03,34.5,18.75,15.75,84.01,105Y12M
66000,臺中市,66000280,大里區,97,3.06,7282.4,32.32,20.72,11.6,55.98,105Y12M
66000,臺中市,66000180,大雅區,99.83,3.25,2915.32,32.03,20.82,11.2,53.82,105Y12M
66000,臺中市,66000010,中區,98.75,2.34,21251.85,51.33,26.81,24.53,91.49,105Y12M
66000,臺中市,66000270,太平區,98.63,3,1542.65,31.39,18.54,12.84,69.26,105Y12M
66000,臺中市,66000080,北屯區,92.48,2.77,4314.71,33,19.78,13.22,66.81,105Y12M
66000,臺中市,66000050,北區,92.02,2.5,21273.21,34.72,17,17.72,104.24,105Y12M
66000,臺中市,66000210,外埔區,105.53,3.33,755.34,33.84,17.17,16.67,97.1,105Y12M
66000,臺中市,66000200,石岡區,108.12,3.1,833.26,38.07,15.63,22.44,143.54,105Y12M
66000,臺中市,66000150,后里區,103.4,3.4,921.76,38.32,20.22,18.1,89.48,105Y12M
66000,臺中市,66000060,西屯區,92.84,2.66,5636.63,33.39,21.45,11.94,55.66,105Y12M
66000,臺中市,66000040,西區,90.57,2.54,20291.54,38.88,20.41,18.47,90.48,105Y12M
66000,臺中市,66000130,沙鹿區,102.26,3.17,2257.47,37.63,24.02,13.61,56.64,105Y12M
66000,臺中市,66000290,和平區,116.77,2.39,10.4,37.17,16.01,21.16,132.14,105Y12M
66000,臺中市,66000020,東區,99.41,2.73,8119.76,34.84,16.95,17.89,105.55,105Y12M
66000,臺中市,66000100,東勢區,106.05,2.93,433.98,41.22,15.94,25.28,158.62,105Y12M
66000,臺中市,66000070,南屯區,91.86,2.74,5332.59,33.72,22.79,10.93,47.96,105Y12M
66000,臺中市,66000030,南區,92.54,2.6,18135.12,32.63,19.21,13.42,69.86,105Y12M
66000,臺中市,66000230,烏日區,101.28,3.08,1696.81,34.59,19.91,14.68,73.74,105Y12M
66000,臺中市,66000160,神岡區,104.39,3.4,1868.94,33.75,18.53,15.22,82.12,105Y12M
66000,臺中市,66000140,梧棲區,101.1,3.29,3471.57,35.07,21.44,13.63,63.54,105Y12M
66000,臺中市,66000120,清水區,105.56,3.22,1345.63,37.74,19.79,17.94,90.65,105Y12M
66000,臺中市,66000190,新社區,107.84,3.31,362.14,42.76,17.68,25.08,141.81,105Y12M
66000,臺中市,66000170,潭子區,97.84,2.99,4159.82,31.61,19.15,12.46,65.09,105Y12M
66000,臺中市,66000250,龍井區,101.81,3.4,2030.51,33.59,20.29,13.31,65.59,105Y12M
66000,臺中市,66000090,豐原區,97.91,3.14,4049.53,37.26,20.52,16.74,81.57,105Y12M
66000,臺中市,66000260,霧峰區,103.45,3.25,661.7,34.63,17.02,17.61,103.51,105Y12M
63000,臺北市,63000110,士林區,93.39,2.71,4648.83,40.59,18.46,22.14,119.93,105Y12M
63000,臺北市,63000060,大同區,95.3,2.52,22893.78,41.85,19.26,22.59,117.32,105Y12M
63000,臺北市,63000030,大安區,87.78,2.58,27417.92,50.5,22.86,27.64,120.95,105Y12M
63000,臺北市,63000040,中山區,87.4,2.32,16901.43,40.42,17.74,22.68,127.84,105Y12M
63000,臺北市,63000050,中正區,91.43,2.47,21085.96,48.46,24.02,24.44,101.77,105Y12M
63000,臺北市,63000100,內湖區,91.68,2.68,9111.62,34.44,19.78,14.65,74.05,105Y12M
63000,臺北市,63000080,文山區,92.36,2.62,8735,39.57,20.02,19.55,97.64,105Y12M
63000,臺北市,63000120,北投區,93.24,2.67,4529.44,39.89,19.46,20.42,104.94,105Y12M
63000,臺北市,63000010,松山區,88.75,2.59,22430.07,47.3,22.16,25.15,113.52,105Y12M
63000,臺北市,63000020,信義區,91.61,2.54,20327.36,41.68,17.82,23.86,133.88,105Y12M
